,id,station,date,prcp,tobs
228,2601,USC00519397,2017-04-17,0.02,74.0
229,2602,USC00519397,2017-04-18,0.0,75.0
230,2603,USC00519397,2017-04-19,0.02,74.0
231,2604,USC00519397,2017-04-20,0.05,78.0
232,2605,USC00519397,2017-04-21,0.23,73.0
233,2606,USC00519397,2017-04-22,0.32,76.0
234,2607,USC00519397,2017-04-23,0.03,77.0
235,2608,USC00519397,2017-04-24,0.0,77.0
236,2609,USC00519397,2017-04-25,0.0,77.0
237,2610,USC00519397,2017-04-26,0.0,77.0
238,2611,USC00519397,2017-04-27,0.0,78.0
239,2612,USC00519397,2017-04-28,0.0,76.0
240,2613,USC00519397,2017-04-29,0.12,72.0
241,2614,USC00519397,2017-04-30,0.89,63.0
242,2615,USC00519397,2017-05-01,0.26,75.0
243,2616,USC00519397,2017-05-02,0.0,78.0
244,2617,USC00519397,2017-05-03,0.0,78.0
245,2618,USC00519397,2017-05-04,0.0,78.0
246,2619,USC00519397,2017-05-05,0.0,79.0
247,2620,USC00519397,2017-05-06,0.0,79.0
248,2621,USC00519397,2017-05-07,0.0,79.0
249,2622,USC00519397,2017-05-08,0.0,77.0
250,2623,USC00519397,2017-05-10,0.0,78.0
251,2624,USC00519397,2017-05-11,0.01,78.0
252,2625,USC00519397,2017-05-12,0.0,79.0
253,2626,USC00519397,2017-05-13,0.0,79.0
254,2627,USC00519397,2017-05-14,0.0,77.0
255,2628,USC00519397,2017-05-15,0.05,78.0
256,2629,USC00519397,2017-05-16,0.01,78.0
257,2630,USC00519397,2017-05-17,0.0,78.0
258,2631,USC00519397,2017-05-18,0.01,73.0
259,2632,USC00519397,2017-05-19,0.0,76.0
260,2633,USC00519397,2017-05-20,0.0,78.0
261,2634,USC00519397,2017-05-21,0.0,76.0
262,2635,USC00519397,2017-05-22,0.0,77.0
263,2636,USC00519397,2017-05-23,0.08,87.0
264,2637,USC00519397,2017-05-24,0.13,77.0
265,2638,USC00519397,2017-05-25,0.15,77.0
266,2639,USC00519397,2017-05-27,0.01,74.0
267,2640,USC00519397,2017-05-28,0.02,76.0
268,2641,USC00519397,2017-05-29,0.0,75.0
269,2642,USC00519397,2017-05-30,0.26,76.0
270,2643,USC00519397,2017-05-31,0.02,79.0
271,2644,USC00519397,2017-06-01,0.0,79.0
272,2645,USC00519397,2017-06-02,0.0,79.0
273,2646,USC00519397,2017-06-03,0.02,79.0
274,2647,USC00519397,2017-06-04,0.0,79.0
275,2648,USC00519397,2017-06-05,0.0,80.0
276,2649,USC00519397,2017-06-06,0.0,79.0
277,2650,USC00519397,2017-06-07,0.0,79.0
278,2651,USC00519397,2017-06-08,0.0,80.0
279,2652,USC00519397,2017-06-09,0.0,80.0
280,2653,USC00519397,2017-06-10,0.04,77.0
281,2654,USC00519397,2017-06-11,0.08,79.0
282,2655,USC00519397,2017-06-12,0.02,83.0
283,2656,USC00519397,2017-06-13,0.0,80.0
284,2657,USC00519397,2017-06-14,0.0,80.0
285,2658,USC00519397,2017-06-15,0.0,78.0
286,2659,USC00519397,2017-06-16,0.0,79.0
287,2660,USC00519397,2017-06-17,0.0,80.0
288,2661,USC00519397,2017-06-18,0.05,77.0
289,2662,USC00519397,2017-06-19,0.0,80.0
290,2663,USC00519397,2017-06-20,0.02,78.0
291,2664,USC00519397,2017-06-21,0.0,79.0
292,2665,USC00519397,2017-06-22,0.0,80.0
293,2666,USC00519397,2017-06-23,0.0,78.0
294,2667,USC00519397,2017-06-24,0.06,80.0
295,2668,USC00519397,2017-06-25,0.0,80.0
296,2669,USC00519397,2017-06-26,0.0,81.0
297,2670,USC00519397,2017-06-27,0.0,80.0
298,2671,USC00519397,2017-06-28,0.0,79.0
299,2672,USC00519397,2017-06-29,0.0,79.0
300,2673,USC00519397,2017-06-30,0.08,75.0
301,2674,USC00519397,2017-07-01,0.02,80.0
302,2675,USC00519397,2017-07-02,0.02,80.0
303,2676,USC00519397,2017-07-03,0.04,78.0
304,2677,USC00519397,2017-07-04,0.04,80.0
305,2678,USC00519397,2017-07-05,0.0,80.0
306,2679,USC00519397,2017-07-06,0.0,81.0
307,2680,USC00519397,2017-07-07,0.0,79.0
308,2681,USC00519397,2017-07-08,0.0,80.0
309,2682,USC00519397,2017-07-09,0.0,80.0
310,2683,USC00519397,2017-07-10,0.0,80.0
311,2684,USC00519397,2017-07-11,0.0,78.0
312,2685,USC00519397,2017-07-12,0.0,81.0
313,2686,USC00519397,2017-07-13,0.07,79.0
314,2687,USC00519397,2017-07-14,0.02,81.0
315,2688,USC00519397,2017-07-15,0.0,80.0
